번호,운영상태,시설명,도로명전체주소,최대수용인원,위도(EPSG4326),경도(EPSG4326)
54,사용중,적선현대빌딩 지하주차장 2~4층,"서울특별시 종로구 사직로 130, 적선현대빌딩 지하1층 (적선동)",7368,37.57557082165369,126.9733077881398
55,사용중,광화문플래티넘 빌딩  지하2~3층,"서울특별시 종로구 새문안로5가길 28, 광화문 플래티넘 지하1~2층 (적선동)",8193,37.57442585433074,126.97345355846048
56,사용중,세종로공영주차장 지하1~5층,"서울특별시 종로구 세종대로 지하189, 세종로지하주차장 지하1~5층 (세종로)",43078,37.573278995596375,126.97627827994586
57,사용중,도렴빌딩 지하1~2층,"서울특별시 종로구 새문안로5길 37, 도렴빌딩 지하1~2층 (도렴동)",6720,37.57367596881805,126.97428725294532
58,사용중,미도파광화문빌딩 지하2층,"서울특별시 종로구 세종대로23길 47, 지하1층 (당주동)",4306,37.57148576425859,126.97369360862452
59,사용중,동원빌딩  지하1층,"서울특별시 종로구 새문안로3길 15, 동원빌딩 지하1층 (당주동)",2123,37.57171563816445,126.97244301283698
60,사용중,로얄빌딩 지하2층,"서울특별시 종로구 새문안로5길 19, 로얄빌딩 지하1층 (당주동)",6487,37.57203484127175,126.97449736788386
61,사용중,현대해상본사빌딩 지하2층,"서울특별시 종로구 세종대로 163, 현대해상빌딩 지하1~2층 (세종로)",2055,37.57094655999557,126.97635053972564
62,사용중,세종빌딩 지하1층,"서울특별시 종로구 세종대로23길 54, 세종빌딩, 세종아파트 지하1층 (당주동)",5760,37.57175171224661,126.97336569134036
63,사용중,시티빌딩 지하1층,"서울특별시 종로구 새문안로 50, 한국씨티은행 본점 지하1층 (신문로2가)",4552,37.56905844652911,126.97067549600108
66,사용중,무악현대아파트 지하1층,"서울특별시 종로구 통일로 246-20, 110동 지하1층 (무악동, 무악현대아파트)",3600,37.57476316686315,126.95934212140529
67,사용중,무악현대임대아파트 지하2층,"서울특별시 종로구 통일로 246-11, 113동 지하2층 (무악동, 무악현대아파트)",3200,37.57482247632304,126.95861006977847
68,사용중,독립문초등학교 지하1층,"서울특별시 종로구 통일로12길 23 (무악동, 독립문초등학교)",600,37.57379360281826,126.96048561748502
69,사용중,지하철5호선 서대문역 대합실 승강장,"서울특별시 종로구 통일로 지하126, 서대문역 2층 (평동)",8250,37.56598825648422,126.9667035695057
70,사용중,강북삼성병원 지하2층,"서울특별시 종로구 새문안로 29, 강북삼성병원 지하2층 (평동)",1936,37.568128271575496,126.96859239466444
71,사용중,서대문장로교회 지하1층,"서울특별시 종로구 통일로8길 16 (송월동, 서대문장로교회)",1206,37.56950318184958,126.96539875450569
73,사용중,종로구민회관 지하2층,"서울특별시 종로구 지봉로5길 7-5 (창신동, 종로구구민회관, 보건소통합청)",736,37.57342692677644,127.01469280943157
74,사용중,창신성결교회 지하1층,"서울특별시 종로구 창신5길 22 (창신동, 창신성결교회)",760,37.57368401076996,127.0118341012569
75,사용중,서울명신초등학교 지하1층,"서울특별시 종로구 낙산길 250 (창신동, 서울명신초등학교)",261,37.58210445213334,127.0148189523262
77,사용중,"지하철6호선 창신역 대합실 승강장(지하 1,4층)","서울특별시 종로구 지봉로 지하 112 (창신동, 6호선 창신역)",7527,37.580030398357486,127.01529596488272
79,사용중,가톨릭대학교성신교정 지하1층,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",906,37.58642554195397,127.00323526765136
80,사용중,"혜성교회, 혜성유치원 지하1층","서울특별시 종로구 혜화로6가길 34 (혜화동, 혜성유치원)",1000,37.59057256530201,127.00100189317747
81,사용중,명륜교회 지하1층,"서울특별시 종로구 혜화로3길 6 (명륜1가, 명륜교회)",2349,37.58635746581509,126.99998391515038
82,사용중,명륜프라자 지하2~3층,"서울특별시 종로구 창경궁로 260 (명륜2가, 명륜프라자)",848,37.58441273888063,127.00048060166148
83,사용중,"동원빌딩, 한성대학교에듀센터 지하1층","서울특별시 종로구 창경궁로 254 (명륜2가, 동원빌딩)",696,37.583883601835424,126.999988031098
84,사용중,광원빌딩 지하1층,서울특별시 종로구 창경궁로 230 (명륜4가),420,37.58227885586644,126.9982065326541
85,사용중,지하철4호선 혜화역 대합실 승강장,"서울특별시 종로구 대학로 지하 120 (명륜4가, 4호선 혜화역)",6661,37.58184728372861,127.00200679680854
86,사용중,혜화동씨티밸리 지하3층,"서울특별시 종로구 대학로 146 (혜화동, 두레빌딩)",3338,37.58430711071853,127.00186391162045
87,사용중,지하철1호선 종로5가역 대합실 승강장 지하2층,"서울특별시 종로구 종로 지하 216 (종로5가, 1호선 종로5가역)",12684,37.57082788874661,127.00162372668711
88,사용중,동대문전철역지하상가 지하1층,"서울특별시 종로구 율곡로 지하308, 4호선 동대문역 (종로6가)",1499,37.57037804253119,127.0093889498207
89,사용중,여전도회관 지하1층,"서울특별시 종로구 율곡로 190 (연지동, 여전도회관)",2853,37.5757573320574,126.9997678583528
90,사용중,서울보증보험 지하2~5층,서울특별시 종로구 김상옥로 29 (연지동),21317,37.5734949909066,127.0008597457728
91,사용중,삼양사 지하1층,"서울특별시 종로구 종로33길 31 (연지동, 삼양사)",3078,37.57256246121639,127.00155558443876
