번호,운영상태,시설명,도로명전체주소,최대수용인원,위도(EPSG4326),경도(EPSG4326)
768,사용중,동소문송산아파트 101동 지하주차장(지하1~3층),서울특별시 성북구 동소문로3길 101 (동소문동4가),13770,37.59199452610886,127.00995146435226
769,사용중,한성여자고등학교 지하주차장,"서울특별시 성북구 삼선교로16길 117, 한성여자고등학교 (삼선동2가)",1129,37.5824622849961,127.011457044267
770,사용중,한진한신아파트 지하주차장 (지하1층 ~ 지하6층),서울특별시 성북구 성북로4길 52 (돈암동),44848,37.59109173462847,127.007046665166
771,사용중,삼선동코오롱아파트(101~105동)지하주차장(지하2층),서울특별시 성북구 삼선교로23길 23 (삼선동4가),3147,37.59051650563343,127.01379445555224
772,사용중,길음역(지하1~3층),"서울특별시 성북구 동소문로 지하 248 (길음동, 길음역)",10012,37.60302620879231,127.02467197554512
773,사용중,길음삼부컨비니언아파트 지하주차장(지하1층),서울특별시 성북구 동소문로 248 (길음동),15562,37.60330689154705,127.02410194027568
774,사용중,월곡역사(지하철6호선),서울특별시 성북구 월곡로 지하 107 (하월곡동),8889,37.601627383518704,127.04122224061064
775,사용중,하월곡동신아파트지하주차장 1층~2층,서울특별시 성북구 오패산로3길 17 (하월곡동),22162,37.60428045759303,127.03629854345856
776,사용중,동아에코빌아파트 지하주차장(지하1~3층),서울특별시 성북구 장월로1길 28 (상월곡동),41802,37.60712599138684,127.0459952134369
777,사용중,이마트미아점 지하주차장(지하2층),서울특별시 성북구 도봉로 17 (길음동),4986,37.61085019216925,127.0300224451112
778,사용중,안암역 지하 1~3층,"서울특별시 성북구 고려대로 지하 89 (안암동5가, 안암역)",12832,37.58634724991531,127.02926665726326
779,사용중,보문역 대합실 지하1~3층,서울특별시 성북구 보문로 지하 116 (보문동1가),8426,37.58539938110347,127.0194707727428
780,사용중,시립성북청소년센터(지하 1층~2층),"서울특별시 성북구 한천로 660-9, 성북청소년수련관 (장위동)",3606,37.61756635816993,127.05599333439204
781,사용중,돌곶이역(6호선),서울특별시 성북구 화랑로 지하 243 (석관동),6327,37.610646589261336,127.05644652606384
782,사용중,"삼성래미안아파트(109,110,114제외)지하1층~3층",서울특별시 성북구 종암로25길 30 (종암동),48998,37.60037089894122,127.03137826099122
783,사용중,샹그레빌아파트 지하주차장(지하1~3층),서울특별시 성북구 회기로5길 100 (하월곡동),14562,37.59562040190276,127.04100184504247
784,사용중,길음지하보도(지하1층),서울특별시 성북구 동소문로 지하234 (길음동),181,37.602780241305,127.022745570591
786,사용중,성북구청(지하1~4층),서울특별시 성북구 보문로 168 (삼선동5가),14073,37.58935581801912,127.01647457689826
787,사용중,월곡래미안루나밸리아파트 지하주차장(지하1~3층),서울특별시 성북구 월곡로14길 26 (하월곡동),42984,37.60010418844459,127.04191815185808
788,사용중,"석관동 래미안아파트(101,110동) 지하주차장1~2층",서울특별시 성북구 화랑로 214 (석관동),36001,37.60895306538723,127.05379966746573
789,사용중,고려대학교 이과대학 하나스퀘어 지하주차장(지하2~3층),서울특별시 성북구 고려대로22길 6-7 (안암동5가),18859,37.58599801202011,127.02840093697286
790,사용중,안암래미안아파트 101동 지하주차장 1층,"서울특별시 성북구 고려대로17가길 64 (안암동1가, 래미안안암)",21007,37.58889706396964,127.02344934254656
791,사용중,정릉중앙하이츠빌2단지아파트(201~9동) 지하주차장2층,서울특별시 성북구 정릉로26길 8 (정릉동),29750,37.60423259951691,127.0106827640987
792,사용중,장월SH빌1단지아파트 지하주차장(지하 1층~2층),서울특별시 성북구 한천로101길 54 (장위동),9016,37.6219567918878,127.04783081636468
793,사용중,정릉우성아파트 104동 지하주차장 1층~3층,서울특별시 성북구 북악산로 813 (정릉동),6680,37.600758470167015,127.01502034146888
794,사용중,길음동동부센트레빌아파트 지하주차장(지하1~4층),"서울특별시 성북구 숭인로2길 61 (길음동, 길음동동부센트레빌아파트)",66616,37.608858568048085,127.02384745454025
795,사용중,성북힐스테이트 지하주차장(지하1~4층),서울특별시 성북구 동소문로44길 43 (하월곡동),15340,37.606492406294215,127.0304180510104
796,사용중,동원베네스트아파트(1개동구성)지하주차장(지하1~2층),서울특별시 성북구 화랑로 271 (장위동),2095,37.612102757238695,127.0588547176142
797,사용중,장위우방아파트(1개동구성)지하주차장(지하1~2층),서울특별시 성북구 화랑로 235 (장위동),5298,37.61030504533362,127.05551472430868
799,사용중,정릉힐스테이트3차 아파트 지하주차장(지하1층-지하2층),서울특별시 성북구 보국문로 116 (정릉동),26953,37.61394960811016,127.0064568076044
800,사용중,정릉대우아파트 지하주차장(지하1층~지하3층),서울특별시 성북구 보국문로30길 15 (정릉동),32563,37.61742071760599,127.003904658171
801,사용중,월곡래미안월곡아파트지하주차장 1층~3층,서울특별시 성북구 오패산로 90 (하월곡동),74218,37.61003115072345,127.0357964090685
802,사용중,월곡두산위브아파트지하주차장 1층~3층,서울특별시 성북구 오패산로 46 (하월곡동),410585,37.60625958895438,127.03700455540536
803,사용중,월곡두산위브아파트(임대) 지하주차장 1층~3층,"서울특별시 성북구 오패산로 46 (하월곡동, 월곡두산위브아파트)",17899,37.60625958895438,127.03700455540536
804,사용중,월곡3에스에이치빌지하주차장 1층~2층,서울특별시 성북구 오패산로 90 (하월곡동),6924,37.61003115072345,127.0357964090685
805,사용중,한신휴아파트(122동~124동) 지하2층주차장,서울특별시 성북구 동소문로15길 99 (동소문동7가),9882,37.595664508828754,127.01427295318211
806,사용중,길음래미안1차아파트 지하주차장(지하1~3층),서울특별시 성북구 길음로9길 40 (길음동),19838,37.6052305332861,127.01978158311454
807,사용중,길음래미안2차아파트 지하주차장(지하2층),서울특별시 성북구 길음로 74 (길음동),16949,37.6090840432268,127.02052940515226
808,사용중,길음래미안 3차아파트 지하주차장(지하1~3층),서울특별시 성북구 길음로 16 (길음동),22489,37.604583814296326,127.02340388007366
809,사용중,길음뉴타운대림아파트-e편한세상 지하주차장(지하1~3층),서울특별시 성북구 길음로 118 (길음동),40000,37.61224171774881,127.01779112142772
810,사용중,"길음뉴타운푸르지오2,3단지아파트지하주차장(지하1~6층)",서울특별시 성북구 길음로 119 (길음동),57698,37.61229049883661,127.01739559813936
811,사용중,길음뉴타운래미안8단지아파트 4차지하주차장(지하1~3층),서울특별시 성북구 길음로 33 (길음동),38787,37.60574691598444,127.021894841508
812,사용중,길음뉴타운래미안9단지아파트5차지하주차장(지하1~3층),서울특별시 성북구 길음로9길 50 (길음동),23466,37.60475618089552,127.01968918820393
813,사용중,길음뉴타운위브7단지아파트 지하주차장(지하1~4층),서울특별시 성북구 길음로13길 22 (길음동),7912,37.60866523065064,127.01925675369776
814,사용중,꿈의숲대명루첸아파트 지하주차장(지하 2층~3층),서울특별시 성북구 월계로36길 27 (장위동),31162,37.620078718234886,127.0465300991196
815,사용중,참누리아파트 지하주차장(지하 1층~2층),서울특별시 성북구 한천로101길 18 (장위동),17273,37.62272670032414,127.04978767573722
816,사용중,삼익아파트 지하주차장(지하 1층~3층),서울특별시 성북구 화랑로37길 42 (장위동),6627,37.61341683454168,127.0573944427249
817,사용중,유타쇼핑몰  지하주차장1~6층,서울특별시 성북구 동소문로 106 (동선동1가),9484,37.59267531405664,127.01704922044838
818,사용중,길음 서희스타힐스 지하주차장(지하1~6층),"서울특별시 성북구 동소문로 284 (하월곡동, 길음 서희스타힐스)",3941,37.6054936352288,127.02714022097776
819,사용중,정릉성원아파트(정릉3동)지하주차장(지하1~2층),"서울특별시 성북구 정릉로21길 21 (정릉동, 정릉성원아파트)",9612,37.6066593513842,127.00883933181346
820,사용중,대동아파트(정릉3동)지하주차장(지하1층),"서울특별시 성북구 정릉로 185-4 (정릉동, 대동아파트)",2304,37.60779905337602,127.0058780563627
821,사용중,정릉중앙하이츠빌1단지(101~105동) 지하주차장3층,"서울특별시 성북구 아리랑로19길 60 (정릉동, 중앙하이츠빌1단지아파트)",5797,37.60213783262788,127.01020182410193
823,사용중,푸른마을동아아파트(101~107동)지하1~3층주차장,"서울특별시 성북구 서경로 31 (정릉동, 푸른마을 동아아파트)",21930,37.60654543060168,127.01500406003407
824,사용중,정릉푸르지오아파트(101~7동)지하주차장(지하1~2층),"서울특별시 성북구 보국문로 19 (정릉동, 정릉푸르지오아파트)",20116,37.60632295300522,127.01065884173002
825,사용중,정릉쌍용아파트 지하주차장 1층~2층,"서울특별시 성북구 북악산로 847 (정릉동, 정릉쌍용아파트)",9760,37.59919855987313,127.01859787558068
826,사용중,길음뉴타운10단지라온유아파트 지하주차장 2층~4층,"서울특별시 성북구 정릉로 307 (정릉동, 라온유 아파트)",11641,37.60316085569468,127.01764296728132
827,사용중,정릉힐스테이트 지하주차장 1층~2층,"서울특별시 성북구 정릉로 292 (정릉동, 정릉힐스테이트)",21375,37.60318640455343,127.01577611109268
828,사용중,정릉스카이쌍용아파트 지하주차장 1층~3층,"서울특별시 성북구 북악산로 828 (정릉동, 정릉스카이쌍용아파트)",20290,37.60011868864879,127.01623194498724
829,사용중,데시앙 1단지 지하주차장 2층/ 2단지 지하주차장 1층,"서울특별시 성북구 서경로 28 (정릉동, 길음뉴타운 데시앙)",8930,37.6061506757284,127.01512433763271
830,사용중,길음뉴타운 경남아너스빌 지하주차장 1층~3층,"서울특별시 성북구 정릉로 305 (정릉동, 길음뉴타운 경남아너스빌)",27946,37.603190813963685,127.01747102782213
831,사용중,꿈의숲푸르지오아파트지하주차장 1층~2층,서울특별시 성북구 오패산로16가길 40 (하월곡동),37157,37.60998587840398,127.03845312646676
832,사용중,동일하이빌뉴시티 지하주차장(지하3~6층),서울특별시 성북구 종암로 167 (하월곡동),79360,37.60474415149564,127.03122722390462
833,사용중,이마트 하월곡점 지하주차장(지하4~6층),서울특별시 성북구 종암로 167 (하월곡동),33612,37.60474415149564,127.03122722390462
834,사용중,"래미안라센트아파트(111동,112동 제외)지하2층",서울특별시 성북구 종암로24가길 80 (종암동),42075,37.60025518250513,127.03860826761364
835,사용중,종암에스케이아파트(107동 제외)지하2층,서울특별시 성북구 종암로24가길 53 (종암동),48690,37.599888816935696,127.03752093756498
836,사용중,종암2차SKVIEW(전동)지하주차장1층~2층,"서울특별시 성북구 종암로24길 35 (종암동, 종암2차 SK VIEW)",17311,37.60144605114783,127.03531756253426
837,사용중,래미안세레니티아파트(전동) 지하1층~2층,"서울특별시 성북구 종암로23길 35 (종암동, 래미안세레니티)",50964,37.59957745343893,127.03199133822346
838,사용중,종암우림카이저팰리스아파트(전동)지하1층~지하3층,서울특별시 성북구 종암로 132 (종암동),13094,37.6018686607389,127.0333870802982
839,사용중,일신건영휴먼빌 지하주차장 (지하1층 ~ 지하3층),서울특별시 성북구 아리랑로 89 (돈암동),27515,37.60053278557861,127.01349219685255
840,사용중,브라운스톤 돈암아파트 지하주차장 (지하1층 ~ 지하5층,서울특별시 성북구 북악산로 844 (돈암동),51768,37.59909554244469,127.01793126825254
841,사용중,돈암힐스테이트 지하주차장 (지하1층 ~ 지하3층),서울특별시 성북구 아리랑로 68 (돈암동),9867,37.59865438618319,127.0145333896095
842,사용중,돈암더샵 지하주차장 (지하1층 ~ 지하3층),서울특별시 성북구 아리랑로5길 85 (돈암동),15169,37.5978479807446,127.01054897182648
843,사용중,동소문현대아파트 지하 주차장 (지하1층),서울특별시 성북구 아리랑로5길 50-8 (돈암동),1238,37.5974758837934,127.01250082150209
844,사용중,돈암신일해피트리아파트 지하주차장 (지하1층 ~ 지하3층,서울특별시 성북구 아리랑로5길 92 (돈암동),13793,37.59803412974152,127.01115260199934
845,사용중,월곡2에스에이치빌 지하주차장(지하1~2층),서울특별시 성북구 회기로5길 142 (하월곡동),6318,37.597640369989776,127.04132873842678
846,사용중,"월곡갑을명가 지하주차장(지하3,4)",서울특별시 성북구 화랑로11길 26 (하월곡동),2779,37.60332256861638,127.04195448840592
847,사용중,수산동양빌 지하주차장(지하1~2층),서울특별시 성북구 오패산로4길 11 (하월곡동),606,37.604100065650975,127.03831004980884
848,사용중,삼선현대힐스테이트(101~109동) 지하주차장 1층,서울특별시 성북구 낙산길 243-15 (삼선동2가),17344,37.582663038435,127.01471813261826
849,사용중,삼선SK VIEW아파트(101~107동)지하주차장 1층,서울특별시 성북구 삼선교로16길 35 (삼선동3가),29090,37.58678320071361,127.01102199745498
850,사용중,삼선푸르지오아파트(103~124동) 지하주차장 1층,서울특별시 성북구 보문로29다길 31 (삼선동2가),51394,37.584297825755776,127.01333455827042
851,사용중,"신동아파밀리에아파트(103동,104동) 지하3~지하2층","서울특별시 성북구 화랑로 210-26 (석관동, 석관동 신동아 파밀리에)",11730,37.60783826575047,127.0536289416499
852,사용중,그린빌아파트 지하주차장(지하1층),서울특별시 성북구 돌곶이로41가길 54 (장위동),961,37.617675755219885,127.04302373798971
853,사용중,"보문아이파크아파트(103,104동) 지하주차장 1,2층",서울특별시 성북구 지봉로21길 19 (보문동3가),8307,37.58556182288587,127.01723791489104
854,사용중,보문하우스토리(101동) 지하주차장 1~4층,"서울특별시 성북구 고려대로2길 37, 보문하우스토리 (보문동4가)",13873,37.58393448754637,127.02092569731089
855,사용중,이편한세상보문(201동) 지하주차장 2층,서울특별시 성북구 낙산길 255 (보문동3가),3614,37.58202744207402,127.01546356321184
857,사용중,"길음역금호어울림센터힐(102,105동)지하주차장1~4층","서울특별시 성북구 동소문로34길 73 (돈암동, 길음역금호어울림센터힐)",27209,37.60085873004937,127.02375806938385
859,사용중,돈암코오롱하늘채아파트 지하주차장 (지하1층 ~ 지하4층,"서울특별시 성북구 아리랑로 75 (돈암동, 돈암코오롱하늘채)",39259,37.59914491952226,127.0137383834508
860,사용중,정릉e편한세상1차아파트 지하주차장(지하1~3층),"서울특별시 성북구 솔샘로24길 15 (정릉동, 정릉이-편한세상)",28762,37.61546289456334,127.00920192137296
862,사용중,성신여자대학교교직원주차장(수정관) 지하 2층,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교)",1606,37.59128838881837,127.02096562433546
863,사용중,브라운스톤동선아파트 지하1층 주차장,"서울특별시 성북구 아리랑로5길 25 (동소문동7가, 브라운스톤 동선아파트)",9410,37.596699893100975,127.01384389042612
864,사용중,정릉풍림아이원아파트(지하주차장)(지하1~2층),"서울특별시 성북구 솔샘로25길 28 (정릉동, 정릉풍림아이원아파트)",13957,37.61735624838335,127.00755482920604
865,사용중,꿈의숲코오롱하늘채아파트 지하주차장(지하 1층~3층),"서울특별시 성북구 돌곶이로 220 (장위동, 꿈의숲코오롱하늘채아파트)",34444,37.61904210319203,127.0459599693664
866,사용중,래미안장위포레카운티아파트 지하주차장(지하 1층~2층),"서울특별시 성북구 장월로 160 (장위동, 래미안장위포레카운티)",49080,37.61860831856987,127.0525034093952
867,사용중,래미안장위퍼스트하이아파트 지하주차장(지하 1층~2층),"서울특별시 성북구 한천로 713 (장위동, 래미안장위퍼스트하이)",87595,37.61998994546117,127.05279636656776
868,사용중,꿈의숲 아이파크 지하주차장(지하2층),서울특별시 성북구 돌곶이로40길 46(장위동),46786,37.61978888880841,127.0485989110013
869,사용중,가든타워 빌딩(지하 2~6층 주차장) (번1동),"서울특별시 강북구 도봉로 328 (번동, 가든타워빌딩)",8520,37.63717873854456,127.0251186466159
872,사용중,교보생명 빌딩(지하 2~3층 주차장) (번1동),서울특별시 강북구 도봉로 348 (번동),4535,37.63842005059703,127.0265223388965
876,사용중,삼성아파트(지하2층 주차장)(번1동),"서울특별시 강북구 도봉로98길 33 (번동, 삼성아파트)",3321,37.64124324484144,127.03154499673435
878,사용중,해모로아파트-번3동(지하2층~지하3층),"서울특별시 강북구 오현로 156-0 (번동, 해모로아파트)",5343,37.62624840817138,127.03688271851188
879,사용중,미성빌딩-미아동(지하1층 ~ 지하 2층),"서울특별시 강북구 도봉로 188, 미성빌딩 (미아동)",1860,37.62559152381215,127.02668854885236
880,사용중,풍양빌딩(송중동)(지하1~3층),"서울특별시 강북구 도봉로 136, 풍양빌딩 (미아동)",2213,37.621035477595534,127.02847765850532
881,사용중,무등양말빌딩(송중동)(지하2층),"서울특별시 강북구 도봉로 132 (미아동, 엠디시빌딩)",290,37.620791219986,127.028603958551
882,사용중,강북구청(지하1층)-수유3동,"서울특별시 강북구 도봉로89길 13 (수유동, 강북구청)",1803,37.63933045820262,127.02565865880574
883,사용중,수유역(지하1층)-수유3동,"서울특별시 강북구 도봉로 지하 338 (수유동, 수유역)",4600,37.63796572876658,127.0255929579124
884,사용중,현대크리스탈(지하1~2층)-수유3동,"서울특별시 강북구 노해로8길 29 (수유동, 현대크리스탈)",801,37.63842849660647,127.02427729306956
885,사용중,효성인텔리언빌딩(지하2층)-수유3동,"서울특별시 강북구 도봉로 313 (수유동, 효성인텔리안오피스텔)",4007,37.63646409512324,127.02351715169166
886,사용중,성실교회(지하2~3층 주차장)-수유3동,"서울특별시 강북구 노해로 50 (수유동, 성실교회)",1602,37.64000338542244,127.02278842612536
887,사용중,미아역-미아동(지하1층~2층),"서울특별시 강북구 도봉로 지하198, 미아역 (미아동)",4107,37.626342320959374,127.02616877682188
888,사용중,두원프라자아파트 지하 3~5층 주차장 - 송천동,"서울특별시 강북구 도봉로 157 (미아동, 두원프라자)",2203,37.6227592298612,127.027002347198
889,사용중,금호어울림아파트 주차장(102동 지하2층)-번2동,서울특별시 강북구 오현로31길 85-7 (번동),5980,37.63142750401508,127.03637200232814
890,사용중,오동공원 현대홈타운 아파트(지하2층)-번2동,서울특별시 강북구 오현로31길 89 (번동),6644,37.63178337923847,127.03616555370924
891,사용중,미아사거리역(송중동)(지하1층),서울특별시 강북구 도봉로 48 (미아동),5641,37.61320980484963,127.03030706457352
892,사용중,벽산아파트(지하1층 주차장) (수유2동),"서울특별시 강북구 삼각산로 143-1 (수유동, 수유벽산아파트)",10661,37.641296081132,127.02021741746329
893,사용중,"현대아파트(지하2, 3층 주차장) (수유2동)",서울특별시 강북구 한천로 1131 (수유동),3592,37.64556078470255,127.01873529293556
894,사용중,"래미안수유아파트(지하2, 3층 주차장) (수유2동)","서울특별시 강북구 한천로159길 8 (수유동, 래미안수유아파트)",21747,37.64465121189435,127.0194086402207
895,사용중,"삼호아파트(수유프라자) 지하2,3층 주차장 (수유1동)","서울특별시 강북구 도봉로 261 (수유동, 삼호아파트, 수유프라자)",3204,37.63170286670119,127.02376017847644
896,사용중,대림쇼핑아파트(수유주상복합) 지하2층 주차장(수유1동),"서울특별시 강북구 도봉로71가길 11 (수유동, 수유대림쇼핑아파트)",1404,37.63180006545608,127.0223209159534
897,사용중,현대성우아파트 지하 2~4 층 주차장 - 송천동,"서울특별시 강북구 삼양로24길 19 (미아동, 현대성우아파트)",9140,37.6170636186113,127.022203080234
898,사용중,우이동 푸르지오 아파트(지하2층) - 우이동,"서울특별시 강북구 삼양로149길 45(우이동, 대우아파트)",4291,37.65494175837223,127.01169551681286
901,사용중,경남아너스빌아파트(송중동)(지하3~4층),"서울특별시 강북구 오패산로30길 30 (미아동, 경남아너스빌)",14303,37.61484807985022,127.03518227022155
902,사용중,대한병원-인수동(지하1층),"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",480,37.63540191364827,127.02278359121652
903,사용중,"수유동 이테크벨리오피스텔 지하2,3층 주차장-수유1동","서울특별시 강북구 도봉로77길 6 (수유동, 수유동 이테크밸리 오피스텔)",2978,37.63370330381555,127.02291049164312
904,사용중,삼양동벽산아파트 101동 P1 주차장(지하2층~4층),"서울특별시 강북구 솔샘로 159, 101동 지하2층 (미아동, 벽산라이브파크)",8484,37.61982225981058,127.01017185399247
905,사용중,기산그린아파트-번3동(지하1층),"서울특별시 강북구 월계로37길 137-0 (번동, 기산그린아파트)",3326,37.62799368009454,127.04380177656267
906,사용중,동문아파트-번3동(지하2층),"서울특별시 강북구 오현로 128 (번동, 번동동문아파트)",3806,37.62378910907936,127.03774767686322
907,사용중,솔그린아파트(지하 2층) (번3동),"서울특별시 강북구 한천로109길 83 (번동, 솔그린아파트)",2772,37.62676913740358,127.03977361099486
909,사용중,신원아파트-번3동(지하2층),"서울특별시 강북구 월계로37길 87-9 (번동, 신원아파트)",1802,37.62584632429378,127.04377115303274
911,사용중,파스칼진 빌딩(지하2층 주차장)(번1동),"서울특별시 강북구 덕릉로 113 (번동, 파스칼진빌딩)",705,37.63504682431457,127.02635999272466
912,사용중,포르텔오피스텔(지하2층 주차장)(번1동),서울특별시 강북구 한천로 1003 (번동),791,37.63778535898896,127.02955998665564
913,사용중,수유역두산위브아파트1 지하1층 주차장(번1동),"서울특별시 강북구 덕릉로41길 12 (번동, 수유역 두산위브 아파트 1)",6803,37.6358093514046,127.03143638172357
914,사용중,수유역두산위브아파트2 지하1층 주차장(번1동),"서울특별시 강북구 덕릉로41길 15 (번동, 수유역 두산위브 아파트 2)",4078,37.63590348004654,127.03113684656724
915,사용중,롯데백화점(송중동)(지하3~6층),"서울특별시 강북구 도봉로 62 (미아동, 롯데백화점)",26630,37.61451935577698,127.0302909735978
916,사용중,삼양동 삼성레미안아파트 주차장 지하2층,"서울특별시 강북구 삼양로 256 (미아동, 래미안미아1차아파트)",16969,37.62620088475845,127.0186329538171
917,사용중,래미안 트리베라1차 아파트 주차장(삼각산동)(지하3층),"서울특별시 강북구 삼양로19길 25 (미아동, 삼성래미안트리베라1차아파트)",26676,37.61468774536334,127.0206078104407
918,사용중,래미안 트리베라2차 아파트(삼각산동)(지하3층),서울특별시 강북구 삼양로27길 19 (미아동),14266,37.61864171208257,127.020131353545
919,사용중,"송천센트레빌 2차 아파트 지하 2, 3층 주차장-송천동","서울특별시 강북구 숭인로 39 (미아동, 송천센트레빌)",9480,37.6125310076187,127.026060973933
920,사용중,미아요진아파트- 미아동(지하2층),"서울특별시 강북구 도봉로76길 56 (미아동, 미아요진아파트)",2295,37.63372669420496,127.02661084417748
921,사용중,현대아파트- 미아동(지하1층),"서울특별시 강북구 도봉로68길 26 (미아동, 미아현대아파트)",3861,37.63124706576736,127.02592742076835
922,사용중,미아신구아파트 - 미아동(지하3층),"서울특별시 강북구 오패산로60길 17 (미아동, 미아신구아파트)",1229,37.62622771764195,127.03052125192576
923,사용중,포엠빌아파트(지하1층)-수유3동,"서울특별시 강북구 한천로139가길 26 (수유동, 포엠빌아파트)",550,37.64048856323063,127.0251029474861
924,사용중,삼양동벽산아파트 102동 P2 주차장(지하2~4층),"서울특별시 강북구 솔샘로 159, 102동 지하2~지하4층 (미아동, 벽산라이브파크)",11057,37.61982225981058,127.01017185399247
925,사용중,삼양동벽산아파트 104동 P3 주차장(지하2~3층),"서울특별시 강북구 솔샘로 159, 지하2~지하4층 (미아동, 벽산라이브파크)",5382,37.61982225981058,127.01017185399247
926,사용중,삼양동벽산아파트 107동 P4 주차장(지하2~3층),"서울특별시 강북구 솔샘로 159, 지하2~지하3층 (미아동, 벽산라이브파크)",6277,37.61982225981058,127.01017185399247
928,사용중,삼양동벽산아파트 109동 P5 주차장(지하2~3층),"서울특별시 강북구 솔샘로 159, 109동 지하2~지하3층 (미아동, 벽산라이브파크)",5074,37.61982225981058,127.01017185399247
929,사용중,삼양동벽산아파트 112동 P7 주차장(지하2 ~ 3층),"서울특별시 강북구 솔샘로 159, 112동 지하2~지하3층 (미아동, 벽산라이브파크)",3912,37.61982225981058,127.01017185399247
931,사용중,삼양동벽산아파트 115동  P9 주차장(지하3층),"서울특별시 강북구 솔샘로 159, 115동 지하2~지하3층 (미아동, 벽산라이브파크)",2148,37.61982225981058,127.01017185399247
932,사용중,삼양동 벽산아파트 118동 P10 주차장(지하3층),"서울특별시 강북구 솔샘로 159 (미아동, 벽산라이브파크)",2055,37.61982225981058,127.01017185399247
933,사용중,삼양동 벽산아파트 201동 주차장(지하3~4층),"서울특별시 강북구 솔샘로 159, 201동 지하3~지하4층 (미아동, 벽산라이브파크)",9016,37.61982225981058,127.01017185399247
934,사용중,삼양동 경남아너스빌아파트 주차장(지하2층),서울특별시 강북구 삼양로74길 8 (미아동),1333,37.629379233884464,127.0184372019526
935,사용중,우리들병원(지하1층~2층 주차장)-수유3동,"서울특별시 강북구 한천로 1083 (수유동, 광산타워)",2309,37.64265704176098,127.02273988374968
937,사용중,우암센스뷰(지하2층) (수유3동),"서울특별시 강북구 노해로8길 16 (수유동, 우암쎈스뷰)",1320,37.6379303497447,127.02383387632196
938,사용중,경남아너스빌(지하2층 ~ 4층)-수유3동,"서울특별시 강북구 노해로8길 22 (수유동, 경남아너스빌)",6003,37.63815288714171,127.02404488063564
939,사용중,두산위브트레지움아파트(삼각산동)(지하2~3층),"서울특별시 강북구 삼양로27길 95 (미아동, 두산위브트레지움아파트)",34512,37.618576401112605,127.01611655740416
940,사용중,"삼각산아이원아파트 주차장(109,111,112-지하2)","서울특별시 강북구 삼양로19길 113 (미아동, 삼각산아이원아파트)",26141,37.61608362655817,127.01713017053272
942,사용중,"SK북한산시티아파트(P201, 102동)(지하3~5층)","서울특별시 강북구 솔샘로 174 (미아동, SK북한산시티아파트)",13733,37.61993121843916,127.012106977633
943,사용중,"SK북한산시티아파트(P205, 122동)(지하3층)","서울특별시 강북구 솔샘로 174 (미아동, SK북한산시티아파트)",4831,37.61993121843916,127.012106977633
944,사용중,"SK북한산시티아파트(P206, 129동)(지하2층)","서울특별시 강북구 솔샘로 174 (미아동, SK북한산시티아파트)",10765,37.61993121843916,127.012106977633
945,사용중,"SK북한산시티아파트(P209, 140동)(지하3층)","서울특별시 강북구 솔샘로 174 (미아동, SK북한산시티아파트)",3376,37.61993121843916,127.012106977633
947,사용중,"SK북한산시티아파트(P211, 147동)(지하2~3층)","서울특별시 강북구 솔샘로 174 (미아동, SK북한산시티아파트)",5035,37.61993121843916,127.012106977633
949,사용중,"제네스타워빌딩 지하2,3층 주차장-수유1동","서울특별시 강북구 덕릉로 82 (수유동, 제네스타워)",3431,37.63449439394388,127.022709784527
951,사용중,미아동복합청사-미아동(지하1층),"서울특별시 강북구 솔매로49길 14 (미아동, 미아동 복합청사, 미아문화정보도서관)",3287,37.627067513320256,127.02677174184689
952,사용중,트레지오(송중동)(지하2~5층),"서울특별시 강북구 도봉로 34 (미아동, 트레지오빌딩)",5856,37.6120400329438,127.0305584629092
953,사용중,형인휴아름아파트(지하1층)-수유3동,"서울특별시 강북구 수유로23길 48 (수유동, 형인휴아름)",1052,37.638423805177766,127.02211729448476
954,사용중,래미안수유아파트107동(지하2층 주차장) (수유2동),"서울특별시 강북구 한천로159길 8 (수유동, 래미안수유아파트)",2723,37.64465121189435,127.0194086402207
955,사용중,수유벽산아파트201(지하1층)-수유2동,"서울특별시 강북구 삼각산로 143-1 (수유동, 수유벽산아파트)",1494,37.641296081132,127.02021741746329
956,사용중,꿈의숲롯데캐슬아파트(송중동)(지하2~3층),"서울특별시 강북구 오현로 56 (미아동, 꿈의숲롯데캐슬)",22978,37.6175044908321,127.0356590657874
957,사용중,수송초등학교(지하2층 주차장) (번1동),"서울특별시 강북구 한천로124길 14 (번동, 수송초등학교)",4289,37.63715475723875,127.03271297665717
958,사용중,꿈의숲 효성해링턴플레이스 아파트(송중동)(지하2~3층),"서울특별시 강북구 오현로 45 (미아동, 꿈의숲 효성해링턴플레이스)",69728,37.61715110386263,127.0349347270369
960,사용중,효성네오인텔리안(지하2~6층 주차장)(번1동),"서울특별시 강북구 도봉로 352(번동, 효성네오인텔리안)",8745,37.638811468158615,127.0268744892884
964,사용중,"SK북한산시티아파트(P202, 107동)(지하2~3층)","서울특별시 강북구 솔샘로 174 (미아동, SK북한산시티아파트)",8018,37.6199312184935,127.012106977635
965,사용중,"SK북한산시티아파트(P203, 113동)(지하2~3층)","서울특별시 강북구 솔샘로 174, 113동 (미아동, SK북한산시티아파트)",9663,37.6199312184935,127.012106977635
